,ecephys_unit_id,c50_dg,area_rf,fano_dg,fano_dm,fano_fl,fano_rf,f1_f0_dg,g_dsi_dg,g_osi_dg,width_rf,height_rf,azimuth_rf,mod_idx_dg,p_value_rf,pref_tf_dg,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_rf,pref_dir_dm,pref_ori_dg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_rf,elevation_rf,on_screen_rf,pref_speed_dm,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_rf,on_off_ratio_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_rf,pref_tf_multi_dg,sustained_idx_fl,pref_dir_multi_dm,pref_ori_multi_dg,pref_speed_multi_dm,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_rf
30099,950914667,0.009000000000000001,200.0,7.216406145624582,5.1393939393939405,2.4913475177304965,3.043137254901961,1.128808046674582,,,97.41389688318682,3029.734024494397,90.0,4.980286050628991,0.14,2.0,0.7179487179487181,,,,45.0,45.0,4.406452871058482e-07,,,,5.0,False,0.02,2.879682352783549,6.218878924960805,3.3571894226622625,1.1611902789089688,,0.4835,0.0925,0.1705,False,0.07550200803212853,False,False,False,0.2086412283486721,0.08099955793742568,0.3898580121703854,0.3671261821589844
30100,950914647,0.3042117647058824,300.0,10.066693174287607,24.482051282051287,2.6728205128205125,11.71851851851852,1.2366544149952228,,,8099.647799898743,950.5928041371787,10.0,2.8075240357955025,0.525,2.0,0.9020882584712372,0.8538461538461538,,1.0,315.0,45.0,9.249088742584505e-11,0.5281835275515124,,0.1821264535508789,20.0,False,0.001,1.850509887064689,1.836799682477875,0.5861759309410299,0.8980310089012704,,0.1955,0.026500000000000003,0.2445,False,0.052208835341365466,False,False,False,0.09971355072641304,0.4915827285618952,0.06400000000000006,0.5282970950235873
30101,950914692,0.8090666666666668,800.0,2.569126213592233,3.25128205128205,0.6503703703703705,1.1555555555555557,0.2680989605374498,,,29.12198812777984,45.72884122903458,81.25,0.96445136236478,0.0,2.0,0.05849953360280737,0.5316239316239316,,0.6363636363636362,270.0,45.0,0.3484900902414363,0.2039791690847707,,0.012184792910583385,-1.25,True,0.005,9.607091569842147,4.67879303734474,1.4920841878498945,2.2280818193985117,,0.5535000000000001,0.0735,0.1085,False,0.030981067125645436,False,False,False,0.1288306728387487,0.2469897244278375,0.926027397260274,0.345364561728198
30102,950914676,0.043227450980392164,300.0,4.495266418835191,23.92222222222223,2.8304761904761917,4.266666666666668,0.6212208435606589,,,82.17835819353503,86.98518708341464,10.0,0.8221215666125451,0.003,2.0,-0.38380513495720864,,,,135.0,90.0,0.006668842114770503,,,,10.0,True,0.02,2.572375455622356,1.8246889153406585,3.7834991906193753,3.5855450538548888,,0.9485,0.0055,0.1005,False,0.10174029451137884,False,False,False,0.2884502349350682,0.21067291626502144,0.014181603309040725,0.18790699051969897
30104,950914733,0.043227450980392164,500.0,3.3186674281363024,2.4703703703703708,0.7464367816091952,0.7,0.22753152435344465,,,79.73385898357972,586.9780058336439,88.0,0.3918789238407999,0.0,2.0,0.42622828599120255,0.44680851063829785,,0.4166666666666666,180.0,0.0,1.55309732963809e-09,0.34490185034038984,,0.019580431274091484,6.0,False,0.02,9.141963409039398,9.064909202206744,5.1690059364799925,8.814739048299527,,0.0965,0.0695,0.0235,False,0.11646586345381528,False,False,False,0.07069775420234553,0.02562938664020257,0.07389969293756392,0.049794315071476886
30105,950914722,0.3256039215686275,200.0,5.6818254528346275,5.309717097170972,1.3847619047619049,4.733333333333333,0.34545634639845263,,,5299.701174543972,138.83194394574926,45.0,0.02581274367539984,0.795,2.0,0.5611964143072691,0.5586734693877552,,,0.0,90.0,7.672755852536684e-09,0.042065247221054564,,,-30.0,False,0.005,3.1553138554814733,9.278866088297573,0.6128202914383495,0.5701784183500129,,0.4285,0.0005,0.0375,False,0.056224899598393566,False,False,False,0.4689178943847358,0.15126681479902193,0.0902527075812274,0.5003651566074715
30107,950914703,0.04750588235294118,600.0,5.58887236679058,2.309009009009009,1.168888888888889,1.7,0.20209051206002016,,,32.34116549991439,33.502343297872855,55.0,0.8315458630129664,0.0,2.0,0.4241256668642561,-0.8655172413793103,,,180.0,45.0,3.2708446933100967e-15,4.4382215735872364e-06,,,10.0,True,0.02,7.7860342425415485,6.683124998554113,2.8243022127158715,4.833358592474725,,0.5165,0.0105,0.0565,False,0.10843373493975904,False,False,False,0.56292853126195,0.07111975948050922,0.000711743772241924,0.2516235287702419
30108,950914684,0.017556862745098042,300.0,3.515568743818001,2.8344086021505377,1.442051282051282,2.2666666666666675,0.9110063333660116,,,418.289631167446,66.14939056351102,20.0,0.7602008826105063,0.019,2.0,-0.3553113553113553,-0.6491228070175438,,0.0,315.0,0.0,0.054573312153842334,0.19563581774626854,,1.0,-30.0,False,0.005,1.307582511790755,1.7621166184650383,0.5861759309410299,1.6129470257555174,,0.1095,0.0115,0.013500000000000002,False,0.052208835341365466,False,False,False,0.21510644415025196,0.1628258887876025,0.06400000000000006,0.2414015536315909
30109,950914778,0.0945686274509804,600.0,2.7491094147582698,1.504421768707483,0.9803921568627452,0.6028985507246377,0.2466939392776997,,,113.09230094617699,1397.9966606059174,15.0,0.8076074146408994,0.0,2.0,0.05167173252279636,0.2537313432835821,,,90.0,90.0,0.50618724142088,0.4069627632435465,,,0.0,False,0.005,12.179467025464499,19.06638439635825,12.362983270756269,13.008839914047217,,0.1055,0.0595,0.0975,False,0.20401606425702806,False,False,False,0.016514586759430547,0.052914901224102605,0.021176470588235352,0.022567430964272096
30110,950914768,0.14590980392156866,1000.0,1.7512547654566553,1.8019047619047621,0.9814814814814812,0.7794871794871795,0.132611530441818,,,49.19534762082918,71.25776447363357,42.0,0.37942987053396776,0.0,2.0,0.0418624293934434,,,0.10121457489878544,135.0,90.0,0.38856806930693,,,0.33635614243017936,0.0,True,0.01,22.62234444219713,8.469463151293589,26.40456125284367,20.581247908518733,,0.6405000000000001,0.2305,0.0775,False,0.17904953145917002,False,False,False,0.0069526815498755275,0.0222261957159624,0.01745985283578766,0.04078935858293336
