ecephys_unit_id,c50_dg,area_rf,fano_dg,fano_fl,fano_ns,fano_rf,fano_sg,f1_f0_dg,g_dsi_dg,g_osi_dg,g_osi_sg,width_rf,height_rf,azimuth_rf,mod_idx_dg,p_value_rf,pref_sf_sg,pref_tf_dg,run_mod_dg,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,pref_ori_dg,pref_ori_sg,run_pval_dg,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,elevation_rf,on_screen_rf,pref_image_ns,pref_phase_sg,firing_rate_dg,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,on_off_ratio_fl,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,pref_sf_multi_sg,pref_tf_multi_dg,sustained_idx_fl,pref_ori_multi_dg,pref_ori_multi_sg,pref_phase_multi_sg,image_selectivity_ns,pref_images_multi_ns,lifetime_sparseness_dg,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg
951851758,,400.0,8.37471264367816,2.406060606060606,4.9300000000000015,2.688888888888888,3.5191666666666666,1.0561152724816971,0.30910136009713063,0.3052867504494749,0.26997727508478186,516.5402370095874,120.5800865989292,52.5,0.8296839981938405,0.179,0.02,1.0,-0.6874999999999999,0.9401431359791804,0.8585607940446651,1.0,-0.3352272727272727,180.0,90.0,0.18875375238329808,2.8081813486067927e-09,0.20691623234599096,0.009282705034737935,0.5930200749543079,37.5,False,4952,0.0,0.4077141855382377,5.515447172486364,0.4728818381632422,1.473692217585228,0.7766752305213384,,0.0745,0.0275,0.0255,0.0385,False,False,0.1472556894243641,False,False,False,0.2559152542372881,True,0.4704219664849586,0.007857176065832805,0.32344616274349525,0.3679066648257361,0.2770933074424989
951851772,,1500.0,6.416981648863324,6.88029535864979,3.196909871244636,2.403980099502488,2.539558029689609,0.5399093551274454,0.027988316523068317,0.06529222586801517,0.07879902070316941,38.01316010971386,44.788632364119614,53.33300000000001,1.2464851134838473,0.0,0.08,8.0,0.19406077348066295,-0.6562666099712979,-0.1743416420222503,,0.008973858759266444,135.0,120.0,0.0348984678647721,8.575475476016012e-08,0.15513502963487302,,0.9511099124561144,-12.0,True,4963,0.0,47.38962583309966,31.653870729052173,34.29602399565173,45.73160812412731,41.52281633362665,,0.1365,0.1205,0.1215,0.0995,False,False,0.3152610441767068,False,False,False,0.468322033898305,False,0.0436127481314401,0.008151744382973947,0.035752964942673965,0.1255833287504496,0.04841629283170353
951851731,,1800.0,5.813138686131388,0.23084203201113426,0.7053808752025932,1.421794871794872,0.7826832132541974,0.09821240358873766,0.02148203537055075,0.03794408548177206,0.016347631749924946,305.55195834305766,144.64757619741638,61.667,0.6160444340806243,0.0,0.02,1.0,0.3276955602536997,0.07442680776014103,0.20117366587199711,0.3975409836065573,0.03005249343832019,135.0,120.0,0.00013691969438682394,0.04741484033577962,0.006681986411223447,0.027979448934066568,0.6320033911385545,-17.222,False,4963,0.5,53.65889330942788,50.012049965009204,39.56623834540854,46.43775231172023,45.81318096466262,,0.2085,0.1235,0.1025,0.1645,False,False,0.3831325301204819,False,False,False,0.40938983050847455,False,0.01107574225886485,0.0009538102762984836,0.0036552827482493147,0.004058152285514956,0.0053446532604462145
951851829,,1600.0,9.525396825396824,2.854689265536724,3.421758241758241,4.8888888888888875,3.890143291359097,0.7849008138907599,0.10562719690475866,0.14182846001889246,0.08184440612375547,691.9743753507692,575.8190160837463,51.875,1.0162630030412936,0.198,0.32,8.0,0.966867469879518,0.8353909465020577,0.9305555555555556,0.9593023255813954,0.9606837606837608,225.0,120.0,2.276716090476769e-05,2.091535104893151e-08,5.234179734901502e-07,0.006562655601027719,2.676958576206768e-06,40.0,False,4977,0.25,4.854446302616316,8.979254575497123,4.360722859880354,4.285111001728477,4.664047996664161,,0.0425,0.0565,0.0425,0.1715,False,False,0.17771084337349394,False,False,False,0.02483050847457635,False,0.18137464563783412,0.0050764987967468755,0.07844083225938323,0.2180362774937354,0.07186492906250452
951851798,,2100.0,9.560416666666667,2.424397163120568,3.1732015810276684,2.7274509803921565,2.0654761904761907,0.7082287225504157,0.06768790947478956,0.06316091728796434,0.02244283290631195,1248.5735664757433,6385.148284217771,55.238,0.15213652331647093,0.001,0.08,8.0,0.32587548638132297,0.6328866134618281,0.5886710239651416,0.4323607427055704,0.162988115449915,225.0,120.0,0.35138302970295393,3.9463152757526915e-06,0.0006464340776637455,0.0010091472452132132,0.2830557678819152,42.381,False,4995,0.75,21.933964184072675,13.402270182418555,14.898464730768053,25.103206569491228,19.378912934440226,,0.0935,0.1685,0.0395,0.0155,False,False,0.28313253012048195,False,False,False,-0.023101694915254045,False,0.0353358547355589,0.028987652397460376,0.022540811491332243,0.034617209741703785,0.018178044734767255
951851864,,200.0,17.070310825294747,2.1577011494252867,2.9514285714285715,17.640476190476196,3.3238461538461537,0.6991447626487002,0.1504273853773519,0.17543981523106342,0.0899304102032809,157.09098864842375,67.2060779872665,65.0,1.0526126571789376,0.025,0.32,1.0,0.9777147487844408,1.0,0.9731800766283524,0.8999999999999999,0.9876434245366283,225.0,90.0,5.33703995895188e-08,6.608183885680781e-07,1.9040183189239752e-05,0.03272487281764646,5.6491349688702883e-08,-10.0,False,4960,0.5,4.256641996807653,2.8243352670703112,2.1917804516003683,7.895876234249425,4.5501445108844445,,0.0045000000000000005,0.0215,0.0595,0.1515,False,False,0.07764390896921018,False,False,False,0.07772881355932215,False,0.4908955851378805,0.017642907551164374,0.12308844690523013,0.2816503991314123,0.08077481880302279
951851850,,500.0,20.655774079677254,2.4841891083183723,4.737637795275591,2.864102564102564,3.268660467454134,0.1789016926597677,0.05670749308349748,0.0929290249553554,0.07023842209635099,2068.216668683169,92.06516421555911,46.0,0.7332732799817329,0.128,0.02,2.0,0.43982630272952855,0.4339115460540132,0.5099457504520796,0.4278350515463917,0.32280627384484945,45.0,120.0,0.002534906975844245,1.893001321281645e-09,0.0010437313194352632,0.044585618277579064,0.002596218900171469,-28.0,False,5011,0.25,46.33539343906507,51.58408563252946,29.751253374895345,36.120810291437934,40.90800395131859,,0.2415,0.08650000000000001,0.0325,0.0795,False,False,0.3426011739264751,False,False,False,-0.024016949152542374,False,0.03485722461193223,0.045684347521398834,0.017141940718780512,0.03178613488576567,0.010160519468865674
951851873,,1200.0,16.57254901960784,1.2347619047619045,1.329255533199195,1.7513292433537826,1.3367733873400265,0.09620225292228424,0.024015947594161355,0.055949608203022284,0.05361813497537662,120.51049309388357,144.1554556370434,77.5,0.41167929597679337,0.0,0.02,2.0,0.4330204778156997,-0.05963740458015272,0.1785272277227722,0.20142602495543674,0.19499362244897964,45.0,60.0,9.13785907045208e-07,0.3951500148171527,0.00212223348015544,0.2969629845115878,0.003812765763556567,-19.166999999999994,True,4929,0.25,76.1636573532541,74.07218907976855,57.209970224718035,64.262410562513,67.6246993380942,,0.0555,0.1105,0.1045,0.0955,False,False,0.4661981258366801,False,False,False,0.3184745762711864,False,0.018392676957610377,0.0001490494989244695,0.009902002192909948,0.016683293159435834,0.011339882334997236
951851898,,400.0,14.197619047619044,2.666666666666667,4.442608695652174,5.933333333333334,3.698717948717949,0.7411316473642284,0.01837135976554119,0.11865816663169232,0.16855551995076493,10491.869759227093,135.09030183719548,25.0,0.9196062126698384,0.213,0.08,2.0,0.9890438247011952,1.0,1.0,1.0,0.9700722394220846,225.0,120.0,6.895832345834454e-08,8.660526428051171e-11,3.6470239738404007e-07,0.024376891685690797,1.1977072922525801e-06,-30.0,False,4965,0.25,4.986821038180678,5.488802500155511,3.779696169523528,1.9002296228238096,4.896517684015745,,0.0395,0.1675,0.0965,0.1075,False,False,0.2369477911646586,False,False,False,0.07716949152542396,False,0.2942401156107009,0.05303725454211783,0.07451419699846812,0.3062586935335678,0.07085699888653503
951851935,,1000.0,9.849109973177272,1.9730381303813045,1.7178861788617883,3.124242424242425,1.3824760765550241,0.2223988471495349,0.0220204528434863,0.029626975560692107,0.028999039049507014,145.72945963027018,125.43906312080792,52.0,2.44778924934704,0.051,0.02,1.0,0.2602880658436214,0.1922083084873784,-0.2146504947334823,0.05216095380029803,0.007844946931241246,90.0,150.0,0.174150929354912,0.05820216247844425,0.03657638616133355,0.8543394019007897,0.9410404012750356,30.0,True,4926,0.75,38.081563927155926,39.38082570499925,40.46968447087667,44.553970146681976,44.91727343031339,,0.0945,0.2155,0.1385,0.1455,False,False,0.3609995537706381,False,False,False,-0.07308474576271196,False,0.009716446005944098,0.019855075353926832,0.00705477870092172,0.01819661819759025,0.00612406362364754
