id,waveform_PT_ratio,waveform_amplitude,amplitude_cutoff,cumulative_drift,d_prime,waveform_duration,ecephys_channel_id,firing_rate,waveform_halfwidth,isi_violations,isolation_distance,L_ratio,max_drift,nn_hit_rate,nn_miss_rate,presence_ratio,waveform_recovery_slope,waveform_repolarization_slope,silhouette_score,snr,waveform_spread,waveform_velocity_above,waveform_velocity_below,ecephys_probe_id,local_index,probe_horizontal_position,probe_vertical_position,anterior_posterior_ccf_coordinate,dorsal_ventral_ccf_coordinate,left_right_ccf_coordinate,ecephys_structure_id,ecephys_structure_acronym,ecephys_session_id,lfp_sampling_rate,name,phase,sampling_rate,has_lfp_data,date_of_acquisition,published_at,specimen_id,session_type,age_in_days,sex,genotype
951851898,0.722672301745457,185.27691,0.0750549588553106,144.18,5.3780762774952,0.192294807370184,850170540,4.63662187207094,0.10988274706867697,0.357640968280092,71.7231450872728,0.00158664793924418,33.4,0.968449931412894,0.000751597143930853,0.98,-0.243109099227284,0.7461196932855501,0.119233165743932,3.11116455295001,80.0,0.137353433835845,-0.480737018425461,769322802,67,27,680,7485,3063,7243,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851924,0.925220394995376,93.895815,0.010679680088542,426.62,4.11453698628247,0.32964824120603003,850170554,3.6378342645487294,0.15108877721942998,0.0686878632443038,52.8191822106413,0.00499874855574025,38.71,0.935828877005348,0.000543496722035395,0.99,-0.0160132914500049,0.254852027227151,0.0680815195864534,1.79893344336484,90.0,,0.423506420993858,769322802,74,59,760,7470,3003,7249,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951851935,0.425881976823405,264.12477,0.00276183451910475,140.18,4.19401579064263,0.370854271356784,850170544,41.9755548653027,0.123618090452261,0.00548153097144865,95.99067529878641,0.0135288862452161,39.99,0.978,0.0188092901537455,0.99,-0.17308295882371602,0.886299472324904,0.164672598142714,4.13151263874733,40.0,0.0,-0.34338358458961504,769322802,69,11,700,7481,3046,7245,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852032,0.496307611168529,131.173575,0.00404499772172431,101.84,4.74668151700034,0.315912897822446,850170558,22.4535214884091,0.15108877721942998,0.034632718466341,75.3920449869506,0.00525781331542758,17.66,0.992,0.0017734988598935898,0.99,-0.116824207136058,0.563377413756781,0.133962760605063,3.0854066821866803,40.0,-0.686767169179229,-3.4338358458961498,769322802,76,43,780,7465,2986,7250,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852043,0.491269744720789,135.44778,0.0048303056793195,166.36,4.9558583266231295,0.370854271356784,850170560,45.3500503494788,0.1785594639866,0.0140700075374289,114.404579535383,0.00044374469198511904,29.86,0.998666666666667,0.00277505713352922,0.99,-0.115259265147777,0.488812782092169,0.120834004874377,3.1523218710339904,60.0,0.206030150753769,-0.6867671691792301,769322802,77,11,780,7463,2978,7250,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852089,0.501333168720331,118.69416,0.00550982008847405,130.0,4.55893451417225,0.247236180904523,850170568,23.6923051064397,0.137353433835846,0.007489674235743491,74.81455772823529,0.0058983496146910895,25.11,0.980666666666667,0.000978399939790773,0.99,-0.10390413339314,0.528620625754875,0.142728716925433,2.99217242310633,70.0,-0.206030150753768,-0.8829863603732951,769322802,81,11,820,7455,2944,7251,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852113,0.556636605977734,125.976825,0.007299561441447271,87.72,6.10327238003897,0.34338358458961504,850170570,22.900975102948603,0.15108877721942998,0.005921892050209461,108.008747124766,0.000628679464992677,13.92,0.999333333333333,0.00038526737555863796,0.99,-0.106002999183853,0.513383642934736,0.167035152656017,3.26199626777097,50.0,0.0,-0.6867671691792301,769322802,82,59,840,7453,2935,7251,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852124,3.66071087051113,80.079285,0.0227738851818732,201.53,4.6855955060631205,0.137353433835846,850170570,19.7589978588482,0.0961474036850921,0.012223617234744,86.65361604375259,0.000814963195065629,11.62,0.996,0.000762617859123683,0.95,-0.0495677631148686,0.21683103556692604,0.125091926775404,2.1006452968285902,30.0,-2.0603015075376896,0.0,769322802,82,59,840,7453,2935,7251,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852139,0.861511823658323,79.099215,0.0416199783035481,176.12,2.77537443359824,0.412060301507538,850170572,17.036786268496098,0.219765494137353,0.0593732236859082,55.8418093071336,0.0217707200454588,26.33,0.7959999999999999,0.00995992456388496,0.99,-0.0616036778625797,0.264537858917702,0.104966376645614,1.9629777628126897,70.0,0.206030150753769,-0.549413735343384,769322802,83,27,840,7451,2926,7251,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
951852149,0.8170247942243829,105.0309,0.0053362212431144395,143.1,3.99145790906659,0.38458961474036896,850170572,48.5884302015897,0.192294807370184,0.0037701333311498,90.71330240568493,0.0229813361626917,28.42,0.962,0.0286002014098691,0.99,-0.0787943675311738,0.3794250259232539,0.0243708843367356,2.58729238887169,50.0,0.34338358458961504,0.0,769322802,83,27,840,7451,2926,7251,218.0,LP,750749662,1249.998609302415,probeA,3a,29999.9666232579,True,2018-10-26T19:58:51Z,2019-10-03T00:00:00Z,726162197,brain_observatory_1.1,92.0,M,wt/wt
